Sample	ic50
M1	37909.81
M1	37910.62
M1	37922.53
M1	37932.36
M1	37934.41
M1	37994.82
M1	37999.32
M1	38005.92
M1	38062.29
M1	38093.59
M1	38117.51
M1	38118.34
M1	38144.34
M1	38157.94
M1	38173.23
M1	38189.75
M1	38211.25
M1	38236.89
M1	38330.49
M1	38347.5
M1	38352.5
M1	38391.52
M1	38398.58
M1	38414.36
M1	38506.75
M1	38522.6
M1	38583.06
M1	38594.76
M1	38626.09
M1	38629.02
M1	38665.39
M1	38684.64
M1	38690.08
M1	38701.39
M1	38716.46
M1	38729.88
M1	38741.62
M1	38780.19
M1	38810.84
M1	38841.09
M1	38864.64
M1	38892.39
M1	38945.88
M1	38969.47
M1	38972.44
M1	39006.58
M1	39039.1
M1	39131.3
M1	39255.13
M1	39332.5
M1	39353.79
M1	39360.59
M1	39394.26
M1	39425.8
M1	39469.76
M1	39488.14
M1	39493.26
M1	39512.5
M1	39565.97
M1	39579.24
M1	39581.82
M1	39585.67
M1	39625.52
M1	39634.54
M1	39642.26
M1	39648.24
M1	39653.41
M1	39668.86
M1	39676.59
M1	39692.89
M1	39693.32
M1	39693.32
M1	39698.9
M1	39707.07
M1	39785.33
M1	39820.21
M1	39832.72
M1	39845.21
M1	39904.77
M1	39928.5
M1	39998.99
M1	40048.37
M1	40104.73
M1	40114.72
M1	40117.75
M1	40125.12
M1	40156.39
M1	40175.95
M1	40232.5
M1	40247.73
M1	40250.36
M1	40272.58
M1	40279.1
M1	40279.1
M1	40311.38
M1	40340.61
M1	40365.07
M1	40438.05
M1	40443.32
M1	40496.75
M1	40519.52
M1	40551.11
M1	40583.15
M1	40609.93
M1	40627.07
M1	40648.19
M1	40654.35
M1	40716.85
M1	40717.3
M1	40737.55
M1	40828.47
M1	40886.81
M1	40890.79
M1	40909.39
M1	40926.2
M1	40936.84
M1	40950.12
M1	40972.73
M1	40987.79
M1	40999.77
M1	41013.52
M1	41025.08
M1	41091.25
M1	41094.83
M1	41180.28
M1	41228.43
M1	41237.34
M1	41256.09
M1	41267.7
M1	41275.73
M1	41294.05
M1	41333.38
M1	41337.86
M1	41372.32
M1	41385.74
M1	41386.19
M1	41417.11
M1	41465.08
M1	41465.96
M1	41474.95
M1	41482.57
M1	41508.18
M1	41549.51
M1	41562.11
M1	41648.99
M1	41667.47
M1	41691.82
M1	41694.97
M1	41701.75
M1	41731.99
M1	41803.83
M1	41811.54
M1	41822.84
M1	41830.07
M1	41867.2
M1	41874.01
M1	41878.98
M1	41907.54
M1	41920.7
M1	41921.16
M1	41922.05
M1	41960.19
M1	42048.34
M1	42093.86
M1	42097.07
M1	42105.24
M1	42123.93
M1	42128.03
M1	42128.49
M1	42145.36
M1	42224.78
M1	42225.24
M1	42227.06
M1	42239.4
M1	42312.14
M1	42318.99
M1	42346.48
M1	42405.62
M1	42413.42
M1	42440.04
M1	42456.57
M1	42499.78
M1	42504.38
M1	42507.62
M1	42508.52
M1	42512.2
M1	42563.3
M1	42579.42
M1	42581.73
M1	42582.19
M1	42632.89
M1	42637.98
M1	42642.57
M1	42673.49
M1	42675.36
M1	42679.52
M1	42699.37
M1	42710.46
M1	42749.76
M1	42769.18
M1	42800.19
M1	42814.57
M1	42833.11
M1	42869.25
M1	42876.69
M1	42927.27
M1	42932.86
M1	42936.57
M1	42980.73
M1	43013.28
M1	43053.8
M1	43059.38
M1	43071.49
M1	43103.67
M1	43115.79
M1	43149.39
M1	43154.07
M1	43184.41
M1	43229.78
M1	43233.52
M1	43248.02
M1	43255.52
M1	43264.39
M1	43282.2
M1	43311.23
M1	43316.85
M1	43326.71
M1	43351.56
M1	43404.6
M1	43412.58
M1	43425.74
M1	43468.5
M1	43480.75
M1	43568.8
M1	43609.37
M1	43685.4
M1	43700.05
M1	43706.67
M1	43721.81
M1	43756.82
M1	43818.41
M1	43830.73
M1	43867.27
M1	43874.39
M1	43913.35
M1	43916.66
M1	43918.56
M1	43923.8
M1	43930.91
M1	43935.19
M1	43999.41
M1	44019.42
M1	44100.46
M1	44169.23
M1	44174.95
M1	44176.89
M1	44209.38
M1	44307.08
M1	44341.12
M1	44349.76
M1	44355.05
M1	44364.15
M1	44365.12
M1	44402.59
M1	44442.47
M1	44476.16
M1	44559.48
M1	44590.35
M1	44621.21
M1	44647.79
M1	44650.2
M1	44666.16
M1	44736.27
M1	44738.23
M1	44760.97
M1	44767.76
M1	44771.62
M1	44776.48
M1	44835.14
M1	44853.09
M1	44860.36
M1	44873
M1	44877.37
M1	44887.07
M1	44920.6
M1	44955.61
M1	44984.79
M1	45059.81
M1	45076.41
M1	45193.1
M1	45202.89
M1	45204.85
M1	45321.91
M1	45330.23
M1	45438.27
M1	45448.08
M1	45460.89
M1	45498.76
M1	45503.19
M1	45651.16
M1	45678.31
M1	45725.29
M1	45757.47
M1	45765.38
M1	45819.9
M1	45822.38
M1	45878.41
M1	45896.29
M1	45903.75
M1	45927.59
M1	45950.46
M1	46023.12
M1	46054
M1	46062.96
M1	46094.38
M1	46173.73
M1	46186.23
M1	46192.22
M1	46241.22
M1	46281.77
M1	46316.34
M1	46482.51
M1	46539.89
M1	46624.04
M1	46639.19
M1	46736.68
M1	46761.98
M1	46939.4
M1	47045.14
M1	47240.5
M1	47662.01
M10	488.6
M10	861.16
